OA,UV4030001,UV4030002,UV4030003,UV4030004,UV4030005,UV4030006,UV4030007,UV4030008,UV4030009,UV4030010,UV4030011
S00143182,116,101.0,39.0,62.0,0.0,0.0,0.0,12.0,12.0,0.0,3.0
S00143183,117,42.0,29.0,13.0,0.0,0.0,1.0,74.0,71.0,1.0,0.0
S00143184,112,75.0,41.0,37.0,0.0,1.0,0.0,35.0,35.0,0.0,2.0
S00143185,66,45.0,30.0,15.0,0.0,0.0,0.0,15.0,15.0,0.0,1.0
S00143186,132,127.0,56.0,66.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0
S00143187,104,81.0,57.0,24.0,0.0,0.0,0.0,22.0,22.0,0.0,1.0
S00143188,70,22.0,12.0,10.0,0.0,0.0,1.0,46.0,46.0,0.0,1.0
S00143189,125,119.0,56.0,61.0,0.0,2.0,0.0,3.0,3.0,0.0,4.0
S00143190,139,138.0,58.0,83.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S00143191,99,25.0,3.0,18.0,4.0,0.0,40.0,32.0,31.0,0.0,2.0
S00143192,105,19.0,10.0,10.0,0.0,0.0,47.0,43.0,37.0,6.0,0.0
S00143193,112,33.0,11.0,19.0,3.0,0.0,76.0,7.0,7.0,0.0,0.0
S00143194,118,107.0,73.0,33.0,0.0,0.0,1.0,9.0,9.0,0.0,2.0
S00143195,113,15.0,0.0,15.0,0.0,0.0,42.0,56.0,56.0,0.0,0.0
S00143196,113,26.0,10.0,12.0,0.0,4.0,50.0,37.0,35.0,2.0,0.0
S00143197,217,204.0,114.0,89.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0
S00143198,63,38.0,5.0,29.0,0.0,2.0,10.0,11.0,11.0,0.0,0.0
S00143199,185,121.0,42.0,79.0,0.0,0.0,5.0,56.0,56.0,0.0,0.0
S00143200,88,12.0,7.0,5.0,0.0,0.0,28.0,48.0,39.0,8.0,0.0
S00143201,256,239.0,48.0,187.0,0.0,0.0,4.0,12.0,12.0,0.0,0.0
S00143202,68,4.0,3.0,1.0,0.0,0.0,6.0,56.0,56.0,0.0,4.0
S00143203,118,115.0,55.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
S00143204,82,8.0,8.0,0.0,0.0,0.0,54.0,20.0,20.0,0.0,0.0
S00143205,168,79.0,29.0,46.0,4.0,0.0,0.0,83.0,83.0,0.0,4.0
S00143206,125,114.0,50.0,64.0,0.0,0.0,3.0,6.0,4.0,1.0,1.0
S00143207,153,136.0,79.0,53.0,0.0,4.0,0.0,17.0,17.0,0.0,0.0
S00143208,105,85.0,37.0,48.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
S00143209,78,73.0,25.0,46.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0
S00143210,98,93.0,46.0,47.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0
S00143211,106,97.0,46.0,51.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
S00143212,124,78.0,24.0,25.0,27.0,2.0,28.0,15.0,15.0,0.0,4.0
S00143213,130,129.0,38.0,91.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0
S00143214,187,181.0,78.0,103.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
S00143215,171,162.0,46.0,111.0,0.0,2.0,2.0,7.0,7.0,0.0,0.0
S00143216,106,59.0,28.0,31.0,0.0,0.0,0.0,43.0,43.0,0.0,2.0
S00143217,93,9.0,4.0,5.0,0.0,0.0,63.0,23.0,23.0,0.0,0.0
S00143218,91,89.0,47.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S00143219,128,116.0,67.0,44.0,0.0,1.0,4.0,11.0,11.0,0.0,0.0
S00143220,109,107.0,45.0,62.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
S00143221,130,113.0,63.0,50.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0
S00143222,102,93.0,46.0,47.0,0.0,0.0,0.0,6.0,6.0,0.0,3.0
S00143223,109,109.0,67.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
