OA,UV7030001,UV7030002,UV7030003,UV7030004,UV7030005,UV7030006,UV7030007,UV7030008,UV7030009,UV7030010,UV7030011
S00135307,69.0,25.0,4.0,8.0,12.0,14.0,0.0,1.0,0.0,0.0,6.0
S00135308,40.0,12.0,0.0,3.0,5.0,11.0,0.0,0.0,1.0,0.0,11.0
S00135309,78.0,23.0,4.0,10.0,23.0,4.0,0.0,0.0,0.0,0.0,9.0
S00135310,97.0,30.0,9.0,13.0,20.0,8.0,1.0,0.0,0.0,0.0,13.0
S00135311,92.0,27.0,3.0,21.0,27.0,4.0,2.0,0.0,1.0,0.0,15.0
S00135312,86.0,14.0,6.0,5.0,31.0,14.0,0.0,0.0,2.0,2.0,10.0
S00135313,59.0,15.0,6.0,6.0,17.0,4.0,0.0,0.0,0.0,0.0,11.0
S00135314,105.0,31.0,8.0,16.0,29.0,10.0,0.0,0.0,2.0,0.0,9.0
S00135315,48.0,9.0,3.0,12.0,13.0,1.0,0.0,0.0,2.0,0.0,5.0
S00135316,60.0,18.0,7.0,11.0,10.0,2.0,0.0,0.0,0.0,0.0,9.0
S00135317,65.0,17.0,8.0,7.0,15.0,6.0,1.0,0.0,0.0,0.0,12.0
S00135318,44.0,6.0,4.0,10.0,16.0,3.0,0.0,0.0,0.0,0.0,6.0
S00135319,54.0,9.0,9.0,8.0,6.0,12.0,2.0,0.0,0.0,1.0,9.0
S00135320,53.0,10.0,4.0,5.0,17.0,6.0,0.0,0.0,0.0,0.0,8.0
S00135321,41.0,14.0,3.0,6.0,5.0,7.0,1.0,0.0,0.0,0.0,8.0
S00135322,73.0,14.0,13.0,9.0,19.0,3.0,0.0,2.0,0.0,0.0,10.0
S00135323,48.0,7.0,6.0,9.0,15.0,6.0,0.0,0.0,0.0,0.0,4.0
S00135324,31.0,15.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0
S00135325,46.0,9.0,4.0,7.0,16.0,5.0,0.0,0.0,1.0,1.0,6.0
S00135326,28.0,11.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0
S00135327,46.0,11.0,7.0,3.0,12.0,6.0,0.0,0.0,0.0,0.0,6.0
S00135328,51.0,14.0,5.0,11.0,10.0,6.0,0.0,0.0,0.0,0.0,5.0
S00135329,59.0,17.0,9.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,12.0
S00135330,48.0,16.0,6.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,9.0
S00135331,26.0,2.0,5.0,3.0,6.0,4.0,0.0,0.0,2.0,0.0,5.0
S00135332,38.0,4.0,5.0,4.0,8.0,6.0,0.0,2.0,2.0,0.0,8.0
S00135333,44.0,13.0,6.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,6.0
