OA,UV6040001,UV6040002,UV6040003,UV6040004,UV6040005
S00145442,60.0,3.0,12.0,38.0,3.0
S00145443,37.0,1.0,5.0,28.0,3.0
S00145444,86.0,11.0,14.0,54.0,7.0
S00145445,74.0,6.0,18.0,40.0,9.0
S00145446,46.0,1.0,11.0,30.0,4.0
S00145447,40.0,6.0,9.0,24.0,1.0
S00145448,49.0,1.0,16.0,27.0,2.0
S00145449,81.0,4.0,17.0,54.0,6.0
S00145450,45.0,3.0,10.0,29.0,3.0
S00145451,74.0,4.0,15.0,49.0,6.0
S00145452,31.0,1.0,3.0,23.0,4.0
S00145453,44.0,4.0,6.0,32.0,2.0
S00145454,71.0,6.0,16.0,42.0,7.0
S00145455,52.0,5.0,10.0,31.0,6.0
S00145456,66.0,14.0,10.0,36.0,7.0
S00145457,91.0,0.0,10.0,75.0,4.0
S00145458,94.0,2.0,18.0,66.0,8.0
S00145459,44.0,4.0,12.0,23.0,5.0
S00145460,48.0,3.0,10.0,32.0,3.0
S00145461,68.0,4.0,6.0,55.0,3.0
S00145462,64.0,7.0,12.0,43.0,2.0
S00145463,50.0,4.0,10.0,33.0,2.0
S00145464,58.0,6.0,13.0,32.0,6.0
S00145465,45.0,4.0,11.0,20.0,8.0
S00145466,39.0,0.0,5.0,26.0,8.0
S00145467,29.0,0.0,11.0,13.0,4.0
S00145468,76.0,8.0,10.0,51.0,9.0
S00145469,56.0,4.0,13.0,38.0,1.0
S00145470,58.0,3.0,21.0,33.0,1.0
S00145471,78.0,4.0,19.0,52.0,0.0
S00145472,73.0,7.0,15.0,46.0,5.0
S00145473,45.0,0.0,9.0,32.0,4.0
S00145474,33.0,0.0,8.0,25.0,2.0
S00145475,53.0,4.0,13.0,32.0,4.0
S00145476,92.0,9.0,28.0,49.0,8.0
S00145477,60.0,9.0,11.0,32.0,8.0
S00145478,88.0,3.0,16.0,59.0,6.0
S00145479,81.0,6.0,5.0,62.0,7.0
S00145480,80.0,4.0,15.0,57.0,4.0
S00145481,96.0,1.0,18.0,69.0,12.0
S00145482,71.0,6.0,24.0,30.0,9.0
S00145483,81.0,4.0,17.0,53.0,4.0
S00145484,56.0,5.0,10.0,34.0,7.0
S00145485,64.0,6.0,13.0,42.0,1.0
S00145486,44.0,2.0,6.0,30.0,3.0
S00145487,59.0,6.0,10.0,40.0,4.0
S00145488,51.0,3.0,12.0,35.0,0.0
S00145489,94.0,10.0,20.0,56.0,8.0
S00145490,62.0,3.0,9.0,43.0,6.0
S00145491,42.0,4.0,9.0,26.0,2.0
S00145492,79.0,5.0,18.0,47.0,4.0
S00145493,80.0,3.0,23.0,47.0,7.0
S00145494,75.0,0.0,7.0,63.0,5.0
S00145495,35.0,5.0,8.0,20.0,6.0
S00145496,65.0,7.0,28.0,29.0,4.0
S00145497,35.0,2.0,6.0,27.0,4.0
S00145498,100.0,11.0,13.0,65.0,6.0
S00145499,43.0,3.0,6.0,34.0,0.0
S00145500,109.0,11.0,19.0,69.0,10.0
S00145501,95.0,3.0,7.0,74.0,9.0
S00145502,52.0,4.0,8.0,40.0,0.0
S00145503,91.0,12.0,13.0,65.0,1.0
S00145504,118.0,3.0,22.0,85.0,12.0
S00145505,56.0,4.0,7.0,34.0,4.0
S00145506,58.0,2.0,19.0,36.0,0.0
S00145507,64.0,10.0,11.0,40.0,3.0
S00145508,55.0,7.0,13.0,36.0,4.0
S00145509,71.0,4.0,18.0,49.0,2.0
S00145510,69.0,2.0,12.0,54.0,1.0
S00145511,78.0,4.0,15.0,53.0,8.0
S00145512,62.0,1.0,17.0,38.0,4.0
S00145513,50.0,5.0,13.0,31.0,3.0
S00145514,54.0,2.0,10.0,37.0,4.0
S00145515,86.0,4.0,15.0,66.0,3.0
S00145516,70.0,9.0,4.0,52.0,5.0
S00145517,54.0,1.0,8.0,41.0,8.0
S00145518,85.0,4.0,30.0,45.0,4.0
S00145519,64.0,2.0,19.0,39.0,4.0
S00145520,46.0,4.0,9.0,25.0,7.0
S00145521,46.0,3.0,13.0,31.0,1.0
S00145522,63.0,2.0,9.0,49.0,8.0
S00145523,52.0,3.0,8.0,35.0,6.0
S00145524,65.0,4.0,11.0,44.0,8.0
S00145525,35.0,1.0,1.0,31.0,2.0
S00145526,68.0,5.0,15.0,44.0,4.0
S00145527,84.0,0.0,10.0,68.0,9.0
S00145528,51.0,1.0,13.0,33.0,4.0
S00145529,37.0,9.0,7.0,17.0,4.0
S00145530,70.0,7.0,15.0,44.0,6.0
S00145531,134.0,1.0,21.0,94.0,12.0
S00145532,68.0,4.0,13.0,45.0,6.0
S00145533,55.0,1.0,13.0,41.0,3.0
S00145534,107.0,3.0,25.0,73.0,7.0
S00145535,79.0,2.0,13.0,62.0,3.0
S00145536,44.0,7.0,8.0,31.0,0.0
S00145537,50.0,4.0,8.0,34.0,4.0
S00145538,49.0,4.0,6.0,32.0,2.0
S00145539,32.0,1.0,3.0,28.0,0.0
S00145540,60.0,3.0,13.0,40.0,6.0
S00145541,99.0,7.0,13.0,71.0,8.0
S00145542,94.0,5.0,11.0,71.0,7.0
S00145543,95.0,7.0,16.0,71.0,5.0
S00145544,92.0,6.0,18.0,60.0,6.0
S00145545,48.0,2.0,8.0,27.0,8.0
S00145546,86.0,5.0,19.0,52.0,7.0
S00145547,130.0,6.0,22.0,89.0,15.0
S00145548,104.0,2.0,17.0,76.0,9.0
S00145549,74.0,5.0,19.0,41.0,7.0
S00145550,63.0,4.0,12.0,38.0,7.0
S00145551,59.0,9.0,13.0,24.0,13.0
S00145552,61.0,4.0,12.0,30.0,13.0
S00145553,89.0,11.0,17.0,52.0,12.0
S00145554,86.0,3.0,14.0,47.0,19.0
S00145555,44.0,7.0,7.0,26.0,4.0
S00145556,31.0,3.0,7.0,12.0,2.0
S00145557,36.0,2.0,7.0,25.0,2.0
S00145558,36.0,1.0,8.0,27.0,0.0
S00145559,34.0,6.0,7.0,18.0,3.0
S00145560,48.0,2.0,8.0,27.0,7.0
S00145561,59.0,2.0,15.0,38.0,4.0
S00145562,46.0,7.0,11.0,27.0,1.0
S00145563,68.0,8.0,14.0,42.0,3.0
S00145564,64.0,9.0,12.0,41.0,6.0
S00145565,106.0,17.0,27.0,47.0,19.0
S00145566,33.0,0.0,6.0,24.0,2.0
S00145567,41.0,5.0,13.0,14.0,6.0
S00145568,60.0,5.0,20.0,31.0,4.0
S00145569,47.0,6.0,8.0,28.0,4.0
S00145570,80.0,6.0,16.0,51.0,8.0
S00145571,46.0,4.0,8.0,31.0,3.0
S00145572,38.0,0.0,10.0,23.0,4.0
S00145573,43.0,0.0,11.0,28.0,4.0
S00145574,53.0,2.0,10.0,34.0,7.0
S00145575,63.0,10.0,10.0,38.0,5.0
S00145576,84.0,8.0,18.0,53.0,6.0
S00145577,54.0,4.0,11.0,33.0,4.0
S00145578,93.0,6.0,18.0,59.0,8.0
S00145579,47.0,1.0,13.0,29.0,4.0
S00145580,44.0,6.0,11.0,29.0,1.0
S00145581,70.0,6.0,11.0,47.0,5.0
S00145582,25.0,5.0,2.0,15.0,3.0
S00145583,55.0,4.0,8.0,37.0,6.0
S00145584,48.0,6.0,8.0,35.0,3.0
S00145585,98.0,11.0,15.0,49.0,26.0
S00145586,54.0,2.0,14.0,28.0,13.0
S00145587,35.0,1.0,7.0,16.0,6.0
S00145588,64.0,14.0,10.0,34.0,6.0
S00145589,45.0,8.0,6.0,25.0,7.0
S00145590,77.0,10.0,21.0,38.0,8.0
S00145591,67.0,3.0,13.0,37.0,8.0
S00145592,41.0,5.0,5.0,27.0,2.0
S00145593,45.0,5.0,14.0,20.0,6.0
S00145594,64.0,5.0,9.0,43.0,6.0
S00145595,92.0,11.0,18.0,52.0,13.0
S00145596,48.0,6.0,8.0,27.0,10.0
S00145597,81.0,9.0,15.0,47.0,9.0
S00145598,58.0,1.0,19.0,26.0,12.0
S00145599,36.0,5.0,5.0,24.0,2.0
S00145600,56.0,9.0,7.0,29.0,10.0
S00145601,47.0,5.0,11.0,27.0,6.0
S00145602,24.0,2.0,4.0,10.0,4.0
S00145603,94.0,11.0,12.0,56.0,15.0
S00145604,56.0,3.0,10.0,37.0,6.0
S00145605,84.0,12.0,14.0,49.0,9.0
S00145606,58.0,7.0,10.0,30.0,10.0
S00145607,42.0,7.0,8.0,13.0,6.0
S00145608,40.0,7.0,9.0,19.0,5.0
S00145609,53.0,1.0,15.0,32.0,6.0
S00145610,51.0,5.0,7.0,37.0,2.0
S00145611,41.0,7.0,10.0,19.0,4.0
S00145612,34.0,2.0,7.0,20.0,5.0
S00145613,39.0,7.0,12.0,21.0,3.0
S00145614,65.0,10.0,17.0,37.0,5.0
S00145615,33.0,1.0,6.0,27.0,1.0
S00145616,65.0,6.0,5.0,41.0,13.0
S00145617,71.0,3.0,8.0,47.0,10.0
S00145618,78.0,3.0,15.0,52.0,3.0
S00145619,20.0,1.0,4.0,17.0,0.0
S00145620,65.0,1.0,21.0,37.0,6.0
S00145621,28.0,0.0,6.0,18.0,4.0
S00145622,55.0,5.0,12.0,34.0,4.0
S00145623,32.0,4.0,7.0,18.0,4.0
S00145624,57.0,3.0,11.0,39.0,5.0
S00145625,51.0,10.0,10.0,26.0,4.0
S00145626,34.0,2.0,12.0,23.0,0.0
S00145627,56.0,4.0,10.0,37.0,6.0
S00145628,66.0,3.0,12.0,46.0,6.0
S00145629,61.0,4.0,10.0,38.0,9.0
S00145630,56.0,4.0,7.0,37.0,8.0
S00145631,50.0,1.0,16.0,27.0,7.0
S00145632,63.0,4.0,10.0,40.0,11.0
S00145633,66.0,4.0,9.0,44.0,6.0
S00145634,34.0,4.0,6.0,21.0,3.0
S00145635,43.0,1.0,9.0,24.0,7.0
S00145636,38.0,4.0,6.0,23.0,6.0
S00145637,40.0,7.0,6.0,26.0,1.0
S00145638,30.0,1.0,7.0,19.0,3.0
S00145639,34.0,4.0,1.0,25.0,2.0
S00145640,38.0,1.0,11.0,24.0,2.0
S00145641,27.0,3.0,4.0,19.0,1.0
S00145642,41.0,4.0,11.0,22.0,4.0
S00145643,60.0,4.0,9.0,40.0,7.0
S00145644,43.0,1.0,8.0,20.0,8.0
S00145645,39.0,4.0,8.0,17.0,6.0
S00145646,43.0,2.0,4.0,31.0,6.0
S00145647,37.0,3.0,9.0,20.0,8.0
S00145648,58.0,4.0,18.0,39.0,1.0
S00145649,68.0,7.0,18.0,33.0,15.0
S00145650,39.0,1.0,7.0,27.0,3.0
S00145651,34.0,3.0,4.0,25.0,2.0
S00145652,42.0,4.0,9.0,22.0,5.0
S00145653,50.0,3.0,14.0,25.0,3.0
S00145654,41.0,2.0,8.0,28.0,3.0
S00145655,64.0,8.0,12.0,36.0,8.0
S00145656,45.0,5.0,8.0,28.0,3.0
S00145657,50.0,2.0,13.0,29.0,6.0
S00145658,29.0,4.0,6.0,20.0,2.0
S00145659,46.0,4.0,6.0,26.0,6.0
S00145660,34.0,6.0,4.0,23.0,1.0
S00145661,34.0,4.0,10.0,24.0,2.0
S00145662,53.0,2.0,17.0,34.0,1.0
S00145663,59.0,1.0,8.0,42.0,5.0
S00145664,72.0,8.0,13.0,43.0,7.0
S00145665,48.0,3.0,11.0,28.0,7.0
S00145666,77.0,7.0,20.0,40.0,10.0
S00145667,39.0,1.0,9.0,26.0,3.0
S00145668,30.0,7.0,6.0,14.0,2.0
S00145669,26.0,1.0,7.0,12.0,3.0
S00145670,48.0,0.0,9.0,33.0,8.0
S00145671,42.0,5.0,10.0,25.0,5.0
S00145672,51.0,6.0,7.0,30.0,5.0
S00145673,40.0,4.0,8.0,27.0,1.0
S00145674,31.0,0.0,8.0,19.0,2.0
S00145675,37.0,2.0,12.0,22.0,0.0
S00145676,35.0,1.0,13.0,18.0,2.0
S00145677,57.0,1.0,6.0,39.0,8.0
S00145678,43.0,6.0,4.0,26.0,4.0
S00145679,51.0,0.0,8.0,37.0,6.0
S00145680,27.0,2.0,5.0,15.0,5.0
S00145681,50.0,2.0,13.0,28.0,8.0
S00145682,30.0,2.0,6.0,22.0,1.0
S00145683,53.0,3.0,11.0,36.0,3.0
S00145684,74.0,0.0,13.0,55.0,1.0
S00145685,70.0,3.0,21.0,41.0,5.0
S00145686,33.0,2.0,6.0,24.0,1.0
S00145687,43.0,2.0,13.0,25.0,4.0
S00145688,66.0,2.0,22.0,41.0,2.0
S00145689,63.0,4.0,15.0,36.0,8.0
S00145690,74.0,4.0,14.0,46.0,12.0
S00145691,36.0,6.0,9.0,20.0,3.0
S00145692,51.0,6.0,10.0,33.0,5.0
S00145693,55.0,3.0,6.0,41.0,5.0
S00145694,49.0,4.0,15.0,27.0,3.0
S00145695,37.0,2.0,12.0,22.0,1.0
S00145696,49.0,4.0,17.0,27.0,0.0
S00145697,36.0,4.0,10.0,18.0,4.0
S00145698,16.0,0.0,10.0,10.0,1.0
S00145699,47.0,4.0,10.0,28.0,3.0
S00145700,59.0,2.0,19.0,32.0,6.0
S00145701,49.0,7.0,9.0,32.0,1.0
S00145702,35.0,2.0,11.0,16.0,3.0
S00145703,76.0,6.0,15.0,44.0,11.0
S00145704,60.0,5.0,10.0,37.0,5.0
S00145705,45.0,3.0,13.0,18.0,8.0
S00145706,66.0,7.0,14.0,38.0,7.0
S00145707,43.0,2.0,11.0,24.0,5.0
S00145708,49.0,2.0,7.0,37.0,2.0
S00145709,41.0,3.0,4.0,25.0,6.0
S00145710,44.0,2.0,10.0,33.0,2.0
S00145711,57.0,8.0,12.0,28.0,9.0
S00145712,45.0,8.0,10.0,21.0,6.0
S00145713,32.0,1.0,5.0,22.0,5.0
S00145714,62.0,5.0,13.0,39.0,6.0
S00145715,58.0,3.0,11.0,43.0,3.0
S00145716,27.0,2.0,7.0,14.0,4.0
S00145717,56.0,3.0,12.0,33.0,7.0
S00145718,28.0,1.0,3.0,22.0,0.0
S00145719,44.0,4.0,8.0,19.0,11.0
S00145720,18.0,4.0,0.0,14.0,1.0
S00145721,33.0,1.0,9.0,20.0,3.0
S00145722,32.0,0.0,7.0,22.0,3.0
S00145723,48.0,1.0,8.0,31.0,8.0
S00145724,37.0,2.0,6.0,25.0,5.0
S00145725,51.0,3.0,10.0,34.0,3.0
S00145726,101.0,9.0,11.0,75.0,8.0
S00145727,100.0,4.0,23.0,68.0,5.0
S00145728,52.0,4.0,7.0,37.0,4.0
S00145729,50.0,2.0,8.0,34.0,6.0
S00145730,41.0,3.0,13.0,19.0,5.0
S00145731,115.0,7.0,33.0,62.0,13.0
S00145732,51.0,1.0,5.0,41.0,7.0
S00145733,68.0,10.0,21.0,37.0,3.0
S00145734,52.0,3.0,10.0,32.0,3.0
S00145735,48.0,4.0,8.0,32.0,4.0
S00145736,88.0,3.0,15.0,65.0,5.0
S00145737,35.0,2.0,4.0,26.0,3.0
S00145738,32.0,6.0,7.0,20.0,2.0
S00145739,104.0,5.0,22.0,74.0,3.0
S00145740,201.0,47.0,43.0,84.0,27.0
S00145741,31.0,1.0,5.0,18.0,4.0
S00145742,21.0,3.0,6.0,10.0,2.0
S00145743,34.0,3.0,4.0,18.0,7.0
S00145744,54.0,7.0,15.0,26.0,6.0
S00145745,41.0,4.0,5.0,24.0,4.0
S00145746,43.0,4.0,12.0,30.0,4.0
S00145747,102.0,10.0,15.0,44.0,32.0
S00145748,26.0,1.0,4.0,19.0,1.0
S00145749,80.0,3.0,14.0,55.0,14.0
S00145750,86.0,8.0,14.0,56.0,8.0
S00145751,113.0,6.0,16.0,74.0,15.0
S00145752,22.0,0.0,3.0,16.0,2.0
S00145753,85.0,7.0,10.0,56.0,12.0
S00145754,107.0,4.0,20.0,74.0,7.0
S00145755,60.0,4.0,11.0,37.0,7.0
S00145756,49.0,3.0,12.0,30.0,4.0
S00145757,25.0,2.0,5.0,18.0,2.0
S00145758,98.0,7.0,15.0,65.0,11.0
S00145759,74.0,3.0,13.0,55.0,4.0
S00145760,44.0,1.0,9.0,24.0,14.0
S00145761,79.0,6.0,19.0,51.0,5.0
S00145762,61.0,4.0,10.0,43.0,4.0
S00145763,53.0,2.0,17.0,31.0,3.0
S00145764,59.0,5.0,27.0,25.0,2.0
S00145765,64.0,3.0,13.0,48.0,3.0
S00145766,90.0,6.0,15.0,55.0,9.0
S00145767,57.0,3.0,19.0,39.0,3.0
S00145768,45.0,4.0,13.0,23.0,8.0
S00145769,70.0,9.0,18.0,44.0,8.0
S00145770,56.0,4.0,12.0,33.0,2.0
S00145771,86.0,2.0,29.0,40.0,14.0
S00145772,51.0,4.0,10.0,33.0,4.0
S00145773,43.0,6.0,9.0,28.0,1.0
S00145774,97.0,8.0,13.0,65.0,10.0
S00145775,33.0,2.0,4.0,22.0,5.0
S00145776,43.0,5.0,13.0,23.0,3.0
S00145777,46.0,1.0,9.0,34.0,5.0
S00145778,46.0,5.0,15.0,20.0,6.0
S00145779,38.0,1.0,5.0,30.0,2.0
S00145780,64.0,3.0,19.0,34.0,8.0
S00145781,39.0,4.0,3.0,27.0,8.0
S00145782,60.0,2.0,10.0,46.0,4.0
S00145783,46.0,0.0,11.0,30.0,3.0
S00145784,37.0,3.0,11.0,24.0,0.0
S00145785,42.0,3.0,18.0,18.0,1.0
S00145786,68.0,1.0,22.0,41.0,4.0
S00145787,36.0,2.0,12.0,19.0,3.0
S00145788,29.0,5.0,5.0,17.0,2.0
S00145789,22.0,3.0,2.0,13.0,2.0
S00145790,59.0,0.0,16.0,35.0,8.0
S00145791,41.0,1.0,12.0,24.0,4.0
S00145792,34.0,3.0,8.0,18.0,5.0
S00145793,42.0,5.0,15.0,19.0,2.0
S00145794,43.0,0.0,8.0,33.0,0.0
S00145795,21.0,1.0,4.0,12.0,4.0
S00145796,42.0,1.0,11.0,31.0,1.0
S00145797,71.0,12.0,20.0,32.0,7.0
S00145798,48.0,6.0,12.0,30.0,4.0
S00145799,43.0,0.0,12.0,29.0,2.0
S00145800,77.0,4.0,20.0,49.0,6.0
S00145801,56.0,3.0,8.0,45.0,5.0
S00145802,87.0,6.0,12.0,55.0,15.0
S00145803,16.0,1.0,2.0,12.0,0.0
S00145804,84.0,0.0,21.0,51.0,10.0
S00145805,87.0,8.0,20.0,52.0,6.0
S00145806,65.0,7.0,13.0,43.0,1.0
S00145807,76.0,4.0,12.0,50.0,10.0
S00145808,89.0,6.0,14.0,57.0,12.0
S00145809,26.0,1.0,4.0,20.0,0.0
S00145810,50.0,2.0,10.0,29.0,10.0
S00145811,44.0,5.0,8.0,29.0,4.0
S00145812,54.0,4.0,11.0,34.0,5.0
S00145813,61.0,4.0,13.0,38.0,6.0
S00145814,66.0,4.0,12.0,45.0,4.0
S00145815,50.0,1.0,13.0,31.0,5.0
S00145816,37.0,5.0,7.0,20.0,3.0
S00145817,32.0,2.0,9.0,18.0,6.0
S00145818,83.0,5.0,12.0,57.0,8.0
S00145819,57.0,3.0,15.0,35.0,4.0
S00145820,60.0,6.0,8.0,40.0,6.0
S00145821,46.0,0.0,9.0,32.0,0.0
S00145822,53.0,1.0,13.0,34.0,2.0
S00145823,73.0,5.0,18.0,40.0,9.0
S00145824,33.0,0.0,8.0,23.0,1.0
S00145825,59.0,5.0,11.0,31.0,10.0
S00145826,48.0,2.0,8.0,37.0,1.0
S00145827,47.0,5.0,11.0,28.0,3.0
S00145828,47.0,1.0,12.0,28.0,5.0
S00145829,52.0,5.0,20.0,27.0,3.0
S00145830,73.0,11.0,16.0,42.0,4.0
S00145831,32.0,3.0,8.0,14.0,7.0
S00145832,56.0,3.0,7.0,42.0,1.0
S00145833,68.0,0.0,19.0,40.0,7.0
S00145834,70.0,4.0,12.0,46.0,8.0
S00145835,81.0,2.0,19.0,51.0,6.0
S00145836,55.0,4.0,10.0,43.0,2.0
S00145837,56.0,3.0,12.0,33.0,8.0
S00145838,67.0,7.0,10.0,41.0,8.0
S00145839,41.0,6.0,13.0,19.0,3.0
S00145840,74.0,6.0,18.0,37.0,11.0
S00145841,65.0,3.0,15.0,47.0,4.0
S00145842,61.0,3.0,17.0,36.0,5.0
S00145843,44.0,3.0,9.0,25.0,5.0
S00145844,56.0,2.0,3.0,45.0,6.0
S00145845,116.0,8.0,20.0,73.0,12.0
S00145846,58.0,6.0,15.0,33.0,4.0
S00145847,59.0,10.0,14.0,39.0,1.0
S00145848,42.0,3.0,9.0,22.0,5.0
S00145849,93.0,11.0,28.0,53.0,5.0
S00145850,61.0,12.0,12.0,34.0,6.0
S00145851,44.0,4.0,13.0,27.0,2.0
S00145852,28.0,1.0,6.0,19.0,2.0
S00145853,54.0,6.0,11.0,30.0,7.0
S00145854,53.0,4.0,17.0,32.0,3.0
S00145855,52.0,5.0,10.0,31.0,6.0
S00145856,54.0,1.0,14.0,38.0,2.0
S00145857,50.0,2.0,9.0,35.0,3.0
S00145858,51.0,2.0,7.0,38.0,5.0
S00145859,46.0,3.0,11.0,26.0,5.0
S00145860,61.0,5.0,18.0,35.0,3.0
S00145861,31.0,1.0,10.0,17.0,3.0
S00145862,22.0,2.0,4.0,10.0,7.0
S00145863,56.0,4.0,21.0,29.0,4.0
S00145864,24.0,2.0,6.0,15.0,1.0
S00145865,35.0,2.0,5.0,23.0,5.0
S00145866,49.0,1.0,7.0,40.0,3.0
S00145867,88.0,6.0,17.0,58.0,7.0
S00145868,61.0,1.0,15.0,40.0,5.0
S00145869,48.0,5.0,9.0,29.0,5.0
S00145870,60.0,4.0,13.0,42.0,1.0
S00145871,57.0,7.0,9.0,39.0,2.0
S00145872,57.0,4.0,15.0,31.0,5.0
S00145873,76.0,6.0,25.0,43.0,3.0
S00145874,125.0,6.0,30.0,85.0,8.0
S00145875,45.0,3.0,11.0,32.0,1.0
S00145876,27.0,0.0,8.0,15.0,4.0
S00145877,39.0,0.0,3.0,28.0,6.0
S00145878,41.0,1.0,10.0,24.0,6.0
S00145879,69.0,4.0,10.0,49.0,10.0
S00145880,25.0,3.0,4.0,18.0,3.0
S00145881,115.0,8.0,25.0,71.0,11.0
S00145882,39.0,5.0,8.0,23.0,4.0
S00145883,84.0,1.0,20.0,58.0,5.0
S00145884,70.0,5.0,13.0,44.0,8.0
S00145885,23.0,3.0,4.0,13.0,4.0
S00145886,74.0,4.0,16.0,49.0,5.0
S00145887,113.0,3.0,14.0,86.0,10.0
S00145888,60.0,2.0,12.0,39.0,7.0
S00145889,27.0,1.0,5.0,17.0,5.0
S00145890,45.0,2.0,9.0,31.0,2.0
S00145891,64.0,4.0,18.0,37.0,8.0
S00145892,60.0,13.0,10.0,31.0,5.0
S00145893,99.0,9.0,26.0,56.0,6.0
S00145894,96.0,5.0,18.0,68.0,5.0
S00145895,58.0,2.0,11.0,39.0,11.0
S00145896,37.0,2.0,6.0,25.0,6.0
S00145897,51.0,0.0,5.0,38.0,3.0
S00145898,57.0,5.0,13.0,35.0,3.0
S00145899,38.0,2.0,17.0,18.0,4.0
S00145900,127.0,5.0,28.0,84.0,13.0
S00145901,44.0,3.0,15.0,24.0,3.0
S00145902,43.0,2.0,12.0,26.0,3.0
S00145903,112.0,6.0,15.0,78.0,10.0
S00145904,34.0,0.0,11.0,17.0,6.0
S00145905,75.0,9.0,17.0,41.0,8.0
S00145906,53.0,0.0,13.0,28.0,12.0
S00145907,55.0,0.0,13.0,37.0,3.0
S00145908,36.0,3.0,8.0,25.0,0.0
S00145909,63.0,3.0,12.0,39.0,8.0
S00145910,18.0,5.0,3.0,16.0,2.0
S00145911,39.0,1.0,7.0,30.0,1.0
S00145912,45.0,0.0,5.0,36.0,8.0
S00145913,41.0,5.0,8.0,30.0,4.0
S00145914,84.0,5.0,14.0,52.0,13.0
S00145915,49.0,5.0,9.0,33.0,3.0
S00145916,55.0,4.0,4.0,42.0,5.0
S00145917,29.0,0.0,9.0,17.0,3.0
S00145918,73.0,4.0,16.0,48.0,5.0
S00145919,45.0,1.0,12.0,29.0,1.0
S00145920,57.0,6.0,16.0,33.0,6.0
S00145921,30.0,1.0,4.0,21.0,4.0
S00145922,49.0,2.0,8.0,36.0,3.0
S00145923,50.0,2.0,8.0,35.0,4.0
S00145924,58.0,2.0,13.0,38.0,5.0
S00145925,45.0,1.0,14.0,31.0,0.0
S00145926,41.0,2.0,18.0,26.0,3.0
S00145927,69.0,1.0,16.0,48.0,2.0
S00145928,57.0,5.0,15.0,32.0,2.0
S00145929,51.0,0.0,25.0,21.0,7.0
S00145930,45.0,4.0,9.0,30.0,5.0
S00145931,51.0,4.0,5.0,32.0,10.0
S00145932,64.0,6.0,7.0,43.0,7.0
S00145933,74.0,5.0,20.0,42.0,7.0
S00145934,65.0,7.0,15.0,42.0,4.0
S00145935,66.0,3.0,9.0,46.0,6.0
S00145936,30.0,1.0,3.0,24.0,4.0
S00145937,51.0,2.0,12.0,32.0,5.0
S00145938,103.0,9.0,15.0,72.0,7.0
S00145939,39.0,1.0,9.0,30.0,2.0
S00145940,53.0,1.0,10.0,38.0,4.0
S00145941,76.0,6.0,8.0,54.0,5.0
S00145942,53.0,3.0,12.0,34.0,5.0
S00145943,70.0,4.0,16.0,46.0,4.0
S00145944,50.0,3.0,6.0,32.0,6.0
S00145945,25.0,5.0,6.0,13.0,0.0
S00145946,87.0,5.0,16.0,62.0,4.0
S00145947,48.0,5.0,13.0,24.0,6.0
S00145948,37.0,1.0,10.0,22.0,4.0
S00145949,48.0,4.0,7.0,33.0,4.0
S00145950,36.0,2.0,8.0,21.0,5.0
S00145951,51.0,3.0,11.0,30.0,12.0
S00145952,35.0,2.0,12.0,21.0,1.0
S00145953,20.0,0.0,4.0,11.0,3.0
S00145954,118.0,5.0,17.0,80.0,14.0
S00145955,57.0,7.0,23.0,27.0,2.0
S00145956,51.0,3.0,11.0,31.0,3.0
S00145957,71.0,6.0,15.0,41.0,7.0
S00145958,57.0,5.0,16.0,33.0,4.0
S00145959,53.0,3.0,13.0,29.0,2.0
S00145960,58.0,3.0,14.0,34.0,4.0
S00145961,61.0,4.0,15.0,35.0,7.0
S00145962,42.0,4.0,7.0,26.0,5.0
S00145963,107.0,4.0,19.0,71.0,13.0
S00145964,51.0,3.0,15.0,34.0,3.0
S00145965,38.0,2.0,7.0,18.0,9.0
S00145966,36.0,0.0,9.0,22.0,3.0
S00145967,40.0,2.0,11.0,25.0,2.0
S00145968,123.0,5.0,23.0,80.0,12.0
S00145969,42.0,1.0,15.0,21.0,5.0
S00145970,67.0,4.0,23.0,38.0,6.0
S00145971,29.0,6.0,4.0,17.0,0.0
S00145972,54.0,1.0,11.0,40.0,2.0
S00145973,31.0,1.0,10.0,16.0,4.0
S00145974,62.0,7.0,13.0,38.0,4.0
S00145975,38.0,3.0,6.0,28.0,1.0
S00145976,35.0,5.0,10.0,19.0,1.0
S00145977,43.0,4.0,10.0,25.0,4.0
S00145978,80.0,2.0,16.0,55.0,8.0
S00145979,49.0,3.0,10.0,31.0,4.0
S00145980,49.0,3.0,11.0,34.0,1.0
S00145981,74.0,7.0,15.0,46.0,5.0
S00145982,56.0,1.0,18.0,32.0,3.0
S00145983,56.0,0.0,6.0,44.0,6.0
S00145984,30.0,2.0,6.0,19.0,3.0
S00145985,35.0,9.0,15.0,13.0,0.0
S00145986,55.0,6.0,15.0,30.0,4.0
S00145987,63.0,3.0,12.0,37.0,7.0
S00145988,75.0,3.0,11.0,54.0,7.0
S00145989,73.0,6.0,20.0,42.0,10.0
S00145990,48.0,2.0,9.0,32.0,5.0
S00145991,55.0,7.0,14.0,28.0,2.0
S00145992,45.0,3.0,9.0,28.0,2.0
S00145993,38.0,2.0,4.0,29.0,1.0
S00145994,68.0,1.0,11.0,41.0,8.0
S00145995,103.0,4.0,13.0,79.0,7.0
S00145996,90.0,1.0,14.0,63.0,12.0
S00145997,75.0,2.0,12.0,55.0,5.0
S00145998,49.0,4.0,17.0,24.0,6.0
S00145999,65.0,9.0,16.0,36.0,6.0
