OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00149688,110,37.0,65.0,0.0,2.0,1.0
S00149689,105,56.0,32.0,8.0,7.0,6.0
S00149690,113,51.0,42.0,6.0,7.0,7.0
S00149691,70,22.0,35.0,0.0,11.0,3.0
S00149692,136,29.0,90.0,1.0,8.0,8.0
S00149693,131,47.0,57.0,9.0,12.0,7.0
S00149694,122,65.0,25.0,5.0,18.0,5.0
S00149695,58,18.0,36.0,0.0,0.0,4.0
S00149696,135,36.0,69.0,5.0,11.0,11.0
S00149697,66,17.0,14.0,3.0,11.0,23.0
S00149698,144,58.0,50.0,0.0,15.0,19.0
S00149699,116,26.0,78.0,3.0,1.0,8.0
S00149700,100,42.0,38.0,1.0,10.0,5.0
S00149701,85,9.0,61.0,3.0,5.0,6.0
S00149702,104,38.0,47.0,3.0,14.0,4.0
S00149703,122,37.0,57.0,2.0,11.0,11.0
S00149704,146,37.0,84.0,2.0,7.0,6.0
S00149705,76,21.0,45.0,4.0,4.0,8.0
S00149706,65,33.0,16.0,2.0,12.0,0.0
S00149707,83,28.0,41.0,3.0,8.0,2.0
S00149708,80,35.0,28.0,2.0,9.0,6.0
S00149709,119,30.0,72.0,3.0,3.0,7.0
S00149710,127,41.0,64.0,4.0,9.0,11.0
S00149711,89,34.0,32.0,8.0,12.0,3.0
S00149712,63,26.0,14.0,5.0,12.0,6.0
S00149713,101,44.0,28.0,5.0,12.0,10.0
S00149714,101,37.0,56.0,0.0,5.0,2.0
S00149715,79,29.0,36.0,2.0,6.0,6.0
S00149716,90,38.0,31.0,2.0,9.0,10.0
S00149717,106,31.0,56.0,4.0,5.0,6.0
S00149718,106,35.0,51.0,2.0,8.0,10.0
S00149719,101,20.0,66.0,3.0,8.0,4.0
S00149720,68,22.0,30.0,1.0,4.0,8.0
S00149721,119,43.0,54.0,0.0,13.0,9.0
S00149722,126,35.0,58.0,2.0,15.0,18.0
S00149723,76,21.0,38.0,0.0,5.0,9.0
S00149724,92,35.0,37.0,2.0,9.0,9.0
S00149725,112,26.0,65.0,0.0,12.0,10.0
S00149726,101,20.0,64.0,2.0,7.0,9.0
S00149727,84,24.0,43.0,3.0,3.0,9.0
S00149728,76,13.0,50.0,0.0,2.0,7.0
S00149729,91,9.0,60.0,1.0,3.0,15.0
S00149730,82,18.0,44.0,3.0,6.0,11.0
S00149731,116,28.0,72.0,0.0,6.0,12.0
S00149732,82,14.0,56.0,0.0,7.0,5.0
S00149733,59,7.0,35.0,0.0,11.0,7.0
S00149734,60,14.0,40.0,1.0,1.0,4.0
S00149735,101,13.0,74.0,2.0,4.0,5.0
S00149736,134,40.0,79.0,2.0,3.0,10.0
S00149737,89,30.0,50.0,1.0,3.0,4.0
S00149738,155,38.0,104.0,4.0,1.0,7.0
S00149739,69,24.0,36.0,2.0,1.0,5.0
S00149740,143,35.0,91.0,1.0,10.0,6.0
S00149741,216,40.0,87.0,4.0,8.0,72.0
S00149742,128,36.0,71.0,2.0,10.0,12.0
S00149743,74,29.0,25.0,4.0,8.0,8.0
S00149744,109,15.0,77.0,0.0,3.0,10.0
S00149745,126,29.0,88.0,0.0,3.0,8.0
S00149746,68,32.0,18.0,2.0,10.0,2.0
S00149747,116,58.0,38.0,4.0,14.0,7.0
S00149748,117,61.0,35.0,4.0,13.0,3.0
S00149749,92,14.0,72.0,0.0,2.0,2.0
S00149750,90,16.0,58.0,5.0,3.0,8.0
S00149751,94,32.0,40.0,2.0,6.0,18.0
S00149752,101,25.0,55.0,3.0,7.0,13.0
S00149753,81,14.0,50.0,0.0,13.0,6.0
S00149754,114,23.0,77.0,0.0,7.0,7.0
S00149755,101,19.0,69.0,0.0,7.0,6.0
S00149756,127,19.0,91.0,0.0,5.0,6.0
S00149757,116,14.0,82.0,0.0,4.0,10.0
S00149758,215,53.0,152.0,0.0,5.0,5.0
S00149759,78,13.0,64.0,0.0,1.0,0.0
S00149760,123,26.0,84.0,4.0,4.0,9.0
S00149761,53,4.0,40.0,0.0,1.0,6.0
S00149762,63,17.0,27.0,2.0,13.0,5.0
S00149763,109,35.0,56.0,0.0,8.0,10.0
S00149764,62,14.0,33.0,0.0,7.0,7.0
S00149765,148,43.0,82.0,7.0,8.0,7.0
S00149766,179,51.0,60.0,2.0,25.0,41.0
S00149767,94,40.0,34.0,3.0,10.0,7.0
S00149768,53,17.0,24.0,2.0,0.0,9.0
S00149769,79,42.0,20.0,1.0,8.0,9.0
S00149770,118,24.0,80.0,1.0,5.0,8.0
S00149771,69,21.0,32.0,2.0,7.0,5.0
S00149772,136,41.0,77.0,1.0,9.0,9.0
S00149773,90,24.0,43.0,3.0,11.0,11.0
S00149774,76,31.0,31.0,5.0,10.0,3.0
S00149775,54,25.0,13.0,5.0,6.0,5.0
S00149776,58,12.0,42.0,0.0,3.0,2.0
S00149777,88,19.0,56.0,0.0,3.0,7.0
S00149778,97,37.0,35.0,3.0,13.0,5.0
S00149779,95,40.0,36.0,4.0,9.0,7.0
S00149780,76,14.0,49.0,0.0,7.0,9.0
S00149781,99,23.0,73.0,0.0,3.0,3.0
S00149782,93,47.0,31.0,3.0,7.0,5.0
S00149783,92,34.0,38.0,4.0,10.0,6.0
S00149784,92,37.0,34.0,7.0,4.0,11.0
S00149785,88,29.0,48.0,1.0,5.0,5.0
S00149786,77,22.0,45.0,1.0,5.0,4.0
S00149787,85,33.0,43.0,2.0,2.0,4.0
S00149788,127,25.0,84.0,2.0,8.0,11.0
S00149789,132,28.0,89.0,0.0,5.0,10.0
S00149790,131,24.0,89.0,4.0,7.0,7.0
S00149791,101,39.0,37.0,3.0,14.0,5.0
S00149792,80,23.0,37.0,2.0,8.0,9.0
S00149793,102,46.0,30.0,2.0,7.0,12.0
S00149794,93,37.0,42.0,3.0,8.0,3.0
S00149795,91,26.0,53.0,0.0,6.0,7.0
S00149796,111,39.0,58.0,2.0,7.0,6.0
S00149797,86,29.0,44.0,3.0,4.0,7.0
S00149798,136,53.0,46.0,4.0,19.0,12.0
S00149799,89,20.0,57.0,2.0,4.0,7.0
S00149800,106,40.0,52.0,3.0,9.0,1.0
S00149801,53,15.0,25.0,1.0,6.0,2.0
S00149802,86,19.0,43.0,2.0,10.0,12.0
S00149803,64,20.0,24.0,3.0,11.0,7.0
S00149804,154,42.0,100.0,3.0,5.0,4.0
S00149805,76,21.0,34.0,0.0,11.0,17.0
S00149806,109,28.0,42.0,2.0,6.0,30.0
S00149807,55,15.0,23.0,3.0,9.0,6.0
S00149808,81,36.0,15.0,2.0,7.0,21.0
S00149809,124,42.0,58.0,4.0,11.0,8.0
S00149810,125,53.0,31.0,13.0,20.0,13.0
S00149811,84,32.0,44.0,0.0,7.0,1.0
S00149812,92,23.0,63.0,1.0,3.0,3.0
S00149813,121,40.0,51.0,1.0,12.0,15.0
S00149814,128,38.0,58.0,2.0,19.0,13.0
S00149815,59,19.0,24.0,1.0,8.0,7.0
S00149816,95,30.0,45.0,5.0,8.0,7.0
S00149817,84,22.0,56.0,0.0,5.0,6.0
S00149818,83,19.0,44.0,4.0,10.0,3.0
S00149819,59,14.0,30.0,4.0,7.0,6.0
S00149820,133,38.0,75.0,2.0,10.0,9.0
S00149821,104,17.0,74.0,1.0,0.0,10.0
S00149822,91,42.0,38.0,4.0,5.0,3.0
S00149823,112,35.0,49.0,3.0,14.0,15.0
S00149824,107,41.0,41.0,5.0,9.0,15.0
S00149825,57,21.0,21.0,3.0,8.0,5.0
S00149826,84,32.0,33.0,2.0,8.0,10.0
S00149827,98,35.0,49.0,0.0,7.0,10.0
S00149828,119,44.0,48.0,1.0,14.0,16.0
S00149829,117,64.0,32.0,4.0,15.0,8.0
S00149830,107,31.0,62.0,3.0,8.0,2.0
S00149831,89,12.0,64.0,4.0,3.0,5.0
S00149832,87,35.0,34.0,6.0,11.0,4.0
S00149833,77,30.0,26.0,1.0,7.0,9.0
S00149834,97,42.0,34.0,2.0,9.0,10.0
S00149835,135,26.0,90.0,3.0,8.0,8.0
S00149836,74,24.0,41.0,0.0,4.0,8.0
S00149837,64,19.0,38.0,1.0,5.0,3.0
S00149838,82,25.0,39.0,1.0,7.0,10.0
S00149839,101,33.0,50.0,0.0,9.0,5.0
S00149840,75,24.0,34.0,3.0,11.0,4.0
S00149841,93,47.0,24.0,0.0,13.0,7.0
S00149842,166,46.0,105.0,2.0,5.0,8.0
S00149843,116,37.0,64.0,0.0,5.0,6.0
S00149844,73,23.0,28.0,0.0,9.0,13.0
S00149845,77,40.0,16.0,4.0,5.0,3.0
S00149846,52,22.0,22.0,0.0,3.0,5.0
S00149847,94,23.0,40.0,0.0,12.0,17.0
S00149848,62,12.0,47.0,0.0,3.0,1.0
S00149849,60,15.0,6.0,3.0,14.0,23.0
S00149850,81,40.0,15.0,2.0,13.0,12.0
S00149851,158,35.0,102.0,6.0,7.0,8.0
S00149852,80,28.0,22.0,6.0,12.0,9.0
S00149853,112,50.0,36.0,2.0,11.0,13.0
S00149854,66,23.0,18.0,0.0,12.0,9.0
S00149855,75,29.0,31.0,2.0,7.0,6.0
S00149856,110,43.0,42.0,4.0,9.0,14.0
S00149857,99,13.0,60.0,1.0,8.0,17.0
S00149858,124,32.0,71.0,2.0,6.0,13.0
S00149859,71,27.0,30.0,2.0,7.0,6.0
S00149860,84,23.0,41.0,4.0,8.0,8.0
S00149861,127,29.0,75.0,1.0,10.0,5.0
S00149862,89,16.0,60.0,0.0,4.0,5.0
S00149863,121,33.0,79.0,0.0,2.0,8.0
S00149864,115,30.0,60.0,0.0,8.0,18.0
S00149865,89,25.0,26.0,1.0,2.0,31.0
S00149866,78,21.0,38.0,7.0,15.0,1.0
S00149867,49,34.0,8.0,2.0,3.0,0.0
S00149868,91,36.0,34.0,2.0,12.0,10.0
S00149869,137,37.0,81.0,4.0,1.0,13.0
S00149870,123,27.0,77.0,4.0,0.0,11.0
S00149871,87,26.0,35.0,4.0,13.0,6.0
S00149872,77,28.0,34.0,1.0,6.0,8.0
S00149873,96,43.0,36.0,2.0,10.0,5.0
S00149874,123,19.0,82.0,0.0,9.0,9.0
S00149875,129,59.0,49.0,3.0,12.0,4.0
S00149876,159,51.0,95.0,0.0,7.0,6.0
S00149877,62,25.0,18.0,1.0,5.0,13.0
S00149878,73,28.0,35.0,1.0,6.0,8.0
S00149879,101,47.0,40.0,1.0,10.0,2.0
S00149880,57,18.0,27.0,1.0,4.0,9.0
S00149881,74,30.0,6.0,5.0,13.0,16.0
S00149882,74,35.0,32.0,0.0,5.0,3.0
S00149883,104,19.0,71.0,5.0,8.0,2.0
S00149884,72,25.0,33.0,0.0,9.0,3.0
S00149885,83,32.0,23.0,5.0,21.0,2.0
S00149886,105,41.0,37.0,2.0,13.0,12.0
S00149887,122,43.0,31.0,1.0,16.0,31.0
S00149888,96,33.0,18.0,2.0,22.0,21.0
S00149889,113,34.0,58.0,1.0,6.0,10.0
S00149890,59,21.0,24.0,1.0,6.0,6.0
S00149891,99,27.0,62.0,0.0,3.0,7.0
S00149892,67,34.0,9.0,3.0,14.0,7.0
S00149893,137,21.0,102.0,2.0,0.0,12.0
S00149894,92,41.0,30.0,3.0,9.0,9.0
S00149895,71,7.0,26.0,0.0,6.0,27.0
S00149896,57,21.0,20.0,3.0,3.0,10.0
S00149897,97,47.0,32.0,2.0,8.0,7.0
S00149898,57,15.0,39.0,0.0,2.0,4.0
S00149899,72,16.0,50.0,0.0,1.0,4.0
S00149900,148,40.0,95.0,3.0,4.0,7.0
S00149901,83,45.0,8.0,1.0,18.0,11.0
S00149902,83,38.0,18.0,4.0,11.0,12.0
S00149903,73,13.0,43.0,2.0,5.0,10.0
S00149904,53,15.0,27.0,2.0,1.0,6.0
S00149905,74,36.0,19.0,6.0,14.0,4.0
S00149906,115,60.0,24.0,7.0,16.0,9.0
S00149907,60,11.0,38.0,0.0,5.0,3.0
S00149908,62,30.0,18.0,4.0,5.0,5.0
S00149909,131,21.0,91.0,0.0,3.0,15.0
S00149910,98,60.0,19.0,4.0,12.0,5.0
S00149911,71,11.0,50.0,3.0,4.0,3.0
S00149912,87,46.0,18.0,3.0,15.0,5.0
S00149913,73,33.0,25.0,0.0,11.0,5.0
S00149914,97,20.0,60.0,2.0,8.0,2.0
S00149915,70,20.0,39.0,2.0,5.0,6.0
S00149916,84,36.0,23.0,2.0,19.0,4.0
S00149917,114,55.0,43.0,1.0,8.0,10.0
S00149918,147,50.0,82.0,4.0,5.0,6.0
S00149919,94,42.0,22.0,3.0,15.0,14.0
S00149920,95,18.0,64.0,0.0,10.0,6.0
S00149921,56,20.0,19.0,2.0,8.0,7.0
S00149922,116,36.0,71.0,3.0,4.0,0.0
S00149923,112,39.0,60.0,0.0,6.0,7.0
S00149924,102,56.0,22.0,9.0,10.0,5.0
S00149925,74,45.0,8.0,5.0,10.0,6.0
S00149926,57,30.0,17.0,1.0,4.0,5.0
S00149927,91,49.0,28.0,6.0,5.0,5.0
S00149928,137,63.0,46.0,6.0,14.0,5.0
S00149929,128,27.0,86.0,0.0,6.0,9.0
S00149930,107,21.0,72.0,0.0,3.0,10.0
S00149931,94,17.0,72.0,0.0,1.0,7.0
S00149932,123,62.0,26.0,8.0,20.0,4.0
S00149933,85,45.0,31.0,0.0,9.0,5.0
S00149934,99,17.0,68.0,1.0,3.0,10.0
S00149935,127,65.0,27.0,5.0,28.0,0.0
S00149936,102,31.0,65.0,1.0,2.0,5.0
S00149937,97,19.0,63.0,0.0,7.0,6.0
S00149938,183,45.0,118.0,1.0,9.0,6.0
S00149939,117,34.0,66.0,1.0,6.0,10.0
S00149940,114,31.0,66.0,0.0,12.0,8.0
S00149941,110,23.0,69.0,1.0,5.0,12.0
S00149942,126,48.0,50.0,6.0,10.0,12.0
S00149943,148,39.0,76.0,2.0,15.0,17.0
S00149944,74,34.0,18.0,8.0,9.0,2.0
S00149945,123,62.0,38.0,5.0,13.0,6.0
S00149946,129,25.0,90.0,1.0,8.0,5.0
S00149947,133,31.0,85.0,5.0,9.0,8.0
S00149948,80,14.0,58.0,4.0,2.0,6.0
S00149949,87,20.0,53.0,1.0,3.0,7.0
S00149950,102,30.0,56.0,2.0,6.0,11.0
S00149951,94,42.0,22.0,4.0,7.0,19.0
S00149952,152,38.0,91.0,0.0,10.0,15.0
S00149953,177,36.0,128.0,0.0,6.0,8.0
S00149954,75,18.0,55.0,1.0,0.0,0.0
S00149955,91,20.0,54.0,1.0,7.0,8.0
S00149956,134,28.0,89.0,0.0,2.0,8.0
S00149957,96,13.0,74.0,2.0,4.0,6.0
S00149958,87,17.0,67.0,0.0,0.0,6.0
S00149959,131,32.0,87.0,2.0,4.0,5.0
S00149960,68,19.0,37.0,0.0,6.0,6.0
S00149961,66,15.0,25.0,3.0,10.0,13.0
S00149962,77,20.0,44.0,1.0,5.0,9.0
S00149963,85,26.0,40.0,4.0,8.0,4.0
S00149964,76,48.0,9.0,2.0,13.0,4.0
S00149965,86,41.0,27.0,6.0,6.0,6.0
S00149966,101,50.0,22.0,7.0,14.0,8.0
S00149967,85,11.0,56.0,1.0,3.0,15.0
S00149968,76,21.0,41.0,0.0,6.0,8.0
S00149969,94,55.0,23.0,4.0,4.0,4.0
S00149970,114,35.0,52.0,2.0,13.0,8.0
S00149971,100,20.0,71.0,1.0,2.0,8.0
S00149972,78,12.0,57.0,0.0,1.0,5.0
S00149973,82,18.0,48.0,4.0,0.0,12.0
S00149974,78,22.0,35.0,3.0,10.0,6.0
S00149975,88,31.0,42.0,4.0,10.0,8.0
S00149976,64,13.0,18.0,0.0,10.0,19.0
S00149977,114,29.0,66.0,1.0,7.0,10.0
S00149978,93,34.0,29.0,0.0,16.0,12.0
S00149979,113,25.0,77.0,2.0,1.0,7.0
S00149980,80,13.0,55.0,0.0,5.0,8.0
S00149981,151,54.0,69.0,0.0,21.0,6.0
S00149982,96,21.0,62.0,1.0,4.0,8.0
S00149983,99,17.0,70.0,0.0,3.0,9.0
S00149984,59,20.0,29.0,4.0,3.0,5.0
S00149985,108,56.0,30.0,2.0,11.0,9.0
S00149986,74,46.0,7.0,0.0,13.0,6.0
S00149987,75,26.0,40.0,0.0,5.0,2.0
S00149988,132,24.0,96.0,0.0,6.0,7.0
S00149989,66,13.0,46.0,0.0,1.0,11.0
S00149990,76,40.0,30.0,3.0,2.0,1.0
S00149991,145,37.0,93.0,1.0,4.0,5.0
S00149992,110,42.0,38.0,4.0,16.0,12.0
S00149993,147,42.0,102.0,0.0,7.0,1.0
S00149994,107,47.0,37.0,4.0,9.0,9.0
S00149995,83,29.0,32.0,1.0,9.0,11.0
S00149996,109,54.0,33.0,3.0,16.0,3.0
S00149997,98,23.0,62.0,1.0,3.0,7.0
S00149998,78,22.0,40.0,0.0,8.0,7.0
S00149999,165,56.0,89.0,0.0,6.0,13.0
S00150000,78,14.0,48.0,1.0,7.0,8.0
S00150001,103,28.0,60.0,0.0,5.0,10.0
S00150002,83,8.0,61.0,2.0,4.0,11.0
S00150003,67,37.0,7.0,6.0,11.0,6.0
S00150004,64,36.0,21.0,1.0,1.0,5.0
S00150005,147,31.0,100.0,2.0,4.0,8.0
S00150006,104,31.0,61.0,0.0,11.0,2.0
S00150007,121,47.0,58.0,0.0,9.0,6.0
S00150008,75,36.0,8.0,2.0,16.0,13.0
S00150009,122,36.0,68.0,1.0,8.0,12.0
S00150010,107,30.0,56.0,2.0,6.0,11.0
S00150011,51,30.0,10.0,2.0,6.0,0.0
S00150012,77,24.0,49.0,2.0,2.0,0.0
S00150013,71,26.0,28.0,4.0,6.0,4.0
S00150014,132,28.0,82.0,4.0,9.0,9.0
S00150015,89,47.0,18.0,6.0,10.0,8.0
S00150016,96,28.0,60.0,4.0,2.0,4.0
S00150017,92,38.0,35.0,1.0,8.0,12.0
S00150018,128,32.0,75.0,0.0,9.0,16.0
S00150019,55,29.0,11.0,7.0,2.0,0.0
S00150020,85,9.0,34.0,1.0,13.0,23.0
S00150021,134,35.0,82.0,2.0,9.0,6.0
S00150022,148,56.0,66.0,2.0,10.0,14.0
S00150023,136,37.0,83.0,4.0,6.0,6.0
S00150024,138,28.0,98.0,2.0,4.0,8.0
S00150025,60,26.0,14.0,4.0,8.0,10.0
S00150026,84,14.0,55.0,1.0,5.0,9.0
S00150027,103,24.0,68.0,2.0,4.0,7.0
S00150028,86,54.0,13.0,4.0,10.0,6.0
S00150029,110,33.0,53.0,1.0,13.0,6.0
S00150030,91,19.0,62.0,2.0,5.0,7.0
S00150031,77,30.0,31.0,0.0,13.0,4.0
S00150032,101,20.0,63.0,3.0,4.0,9.0
S00150033,146,31.0,99.0,0.0,5.0,7.0
S00150034,52,13.0,20.0,2.0,7.0,10.0
S00150035,144,46.0,85.0,0.0,6.0,6.0
S00150036,88,14.0,60.0,2.0,2.0,13.0
S00150037,89,38.0,27.0,3.0,12.0,6.0
S00150038,131,33.0,85.0,0.0,3.0,8.0
S00150039,49,12.0,34.0,1.0,0.0,1.0
S00150040,84,29.0,48.0,0.0,3.0,5.0
S00150041,51,28.0,14.0,1.0,4.0,3.0
S00150042,83,40.0,28.0,3.0,6.0,6.0
S00150043,61,9.0,34.0,3.0,8.0,7.0
S00150044,78,21.0,43.0,5.0,8.0,6.0
S00150045,111,21.0,75.0,2.0,3.0,8.0
S00150046,58,8.0,45.0,1.0,2.0,1.0
S00150047,85,20.0,50.0,0.0,4.0,11.0
S00150048,235,47.0,115.0,1.0,16.0,56.0
S00150049,86,16.0,56.0,0.0,4.0,10.0
S00150050,77,19.0,40.0,5.0,10.0,3.0
S00150051,118,20.0,89.0,0.0,5.0,2.0
S00150052,67,12.0,36.0,2.0,8.0,9.0
S00150053,56,24.0,24.0,1.0,3.0,4.0
S00150054,198,52.0,126.0,6.0,11.0,3.0
S00150055,130,37.0,68.0,1.0,11.0,13.0
S00150056,59,16.0,36.0,0.0,4.0,1.0
S00150057,70,16.0,38.0,2.0,11.0,6.0
S00150058,94,25.0,52.0,2.0,11.0,7.0
S00150059,114,19.0,80.0,0.0,1.0,10.0
S00150060,83,36.0,34.0,3.0,6.0,6.0
S00150061,71,35.0,24.0,3.0,9.0,0.0
S00150062,64,29.0,15.0,4.0,10.0,8.0
S00150063,77,32.0,30.0,0.0,11.0,8.0
S00150064,175,56.0,89.0,1.0,17.0,6.0
S00150065,120,28.0,78.0,1.0,4.0,9.0
S00150066,93,15.0,52.0,0.0,10.0,18.0
S00150067,97,34.0,42.0,4.0,12.0,5.0
S00150068,126,49.0,42.0,4.0,10.0,18.0
S00150069,75,30.0,27.0,2.0,12.0,4.0
S00150070,53,25.0,14.0,4.0,4.0,4.0
S00150071,112,17.0,86.0,0.0,4.0,5.0
S00150072,122,31.0,69.0,2.0,12.0,11.0
S00150073,88,21.0,57.0,1.0,4.0,3.0
S00150074,98,23.0,61.0,0.0,5.0,5.0
S00150075,89,54.0,13.0,1.0,12.0,10.0
S00150076,66,18.0,32.0,4.0,8.0,5.0
S00150077,68,24.0,35.0,0.0,3.0,6.0
S00150078,165,35.0,117.0,4.0,8.0,1.0
S00150079,129,18.0,104.0,0.0,1.0,8.0
S00150080,68,34.0,12.0,4.0,9.0,13.0
S00150081,96,27.0,61.0,0.0,4.0,8.0
S00150082,132,34.0,92.0,3.0,4.0,3.0
S00150083,93,25.0,57.0,1.0,6.0,1.0
S00150084,91,16.0,63.0,2.0,5.0,5.0
S00150085,52,7.0,44.0,1.0,0.0,0.0
S00150086,105,24.0,78.0,3.0,0.0,0.0
S00150087,84,25.0,44.0,7.0,4.0,4.0
S00150088,110,46.0,44.0,3.0,11.0,5.0
S00150089,87,21.0,55.0,2.0,6.0,3.0
S00150090,166,39.0,111.0,2.0,12.0,5.0
S00150091,77,21.0,36.0,4.0,13.0,3.0
S00150092,129,25.0,81.0,8.0,15.0,6.0
S00150093,85,33.0,34.0,1.0,4.0,11.0
S00150094,92,16.0,59.0,0.0,2.0,15.0
S00150095,57,18.0,21.0,2.0,8.0,3.0
S00150096,131,32.0,68.0,3.0,16.0,12.0
S00150097,89,18.0,51.0,3.0,4.0,11.0
S00150098,136,49.0,63.0,2.0,12.0,6.0
S00150099,85,24.0,48.0,3.0,8.0,9.0
S00150100,104,26.0,70.0,0.0,3.0,4.0
S00150101,158,22.0,51.0,3.0,16.0,62.0
S00150102,98,22.0,74.0,0.0,3.0,2.0
S00150103,65,10.0,50.0,1.0,0.0,4.0
S00150104,82,16.0,48.0,4.0,7.0,4.0
S00150105,190,43.0,142.0,2.0,3.0,0.0
S00150106,82,27.0,42.0,2.0,7.0,5.0
S00150107,89,29.0,52.0,1.0,6.0,1.0
S00150108,81,45.0,17.0,1.0,10.0,3.0
S00150109,68,35.0,20.0,1.0,7.0,9.0
S00150110,142,44.0,83.0,2.0,9.0,4.0
S00150111,118,36.0,66.0,1.0,7.0,4.0
S00150112,83,40.0,21.0,0.0,13.0,7.0
S00150113,101,40.0,37.0,2.0,10.0,13.0
S00150114,98,27.0,59.0,0.0,7.0,6.0
S00150115,113,32.0,67.0,4.0,6.0,5.0
S00150116,60,11.0,46.0,0.0,0.0,1.0
S00150117,101,17.0,71.0,0.0,2.0,8.0
S00150118,142,23.0,84.0,6.0,15.0,14.0
S00150119,138,48.0,55.0,5.0,14.0,12.0
S00150120,61,18.0,37.0,0.0,6.0,1.0
S00150121,118,40.0,56.0,2.0,12.0,9.0
S00150122,93,36.0,33.0,4.0,8.0,8.0
S00150123,141,33.0,99.0,4.0,4.0,5.0
S00150124,161,37.0,116.0,3.0,5.0,1.0
S00150125,158,28.0,119.0,1.0,3.0,10.0
S00150126,91,35.0,31.0,1.0,11.0,13.0
S00150127,80,19.0,53.0,0.0,4.0,2.0
S00150128,61,17.0,26.0,7.0,7.0,6.0
S00150129,82,28.0,46.0,0.0,5.0,3.0
S00150130,78,33.0,27.0,4.0,10.0,5.0
S00150131,134,31.0,90.0,4.0,4.0,6.0
S00150132,126,25.0,83.0,2.0,7.0,5.0
S00150133,116,18.0,49.0,3.0,10.0,36.0
S00150134,109,23.0,79.0,1.0,0.0,0.0
S00150135,100,23.0,72.0,2.0,1.0,6.0
S00150136,126,28.0,81.0,0.0,7.0,10.0
S00150137,107,22.0,62.0,3.0,4.0,18.0
S00150138,137,30.0,88.0,0.0,5.0,9.0
S00150139,127,56.0,56.0,4.0,9.0,2.0
S00150140,122,15.0,95.0,0.0,4.0,1.0
S00150141,100,34.0,47.0,5.0,5.0,9.0
S00150142,125,39.0,75.0,5.0,4.0,4.0
S00150143,57,15.0,35.0,2.0,2.0,3.0
S00150144,74,16.0,45.0,3.0,4.0,13.0
S00150145,48,5.0,34.0,1.0,1.0,6.0
S00150146,84,33.0,27.0,5.0,5.0,11.0
S00150147,95,32.0,52.0,2.0,4.0,6.0
S00150148,169,41.0,117.0,2.0,6.0,4.0
S00150149,100,25.0,68.0,0.0,5.0,2.0
S00150150,74,21.0,44.0,3.0,3.0,0.0
S00150151,99,35.0,43.0,6.0,9.0,7.0
S00150152,96,16.0,59.0,2.0,13.0,11.0
S00150153,80,10.0,64.0,0.0,6.0,2.0
S00150154,129,29.0,87.0,0.0,5.0,7.0
S00150155,97,46.0,27.0,4.0,12.0,11.0
S00150156,104,41.0,37.0,2.0,7.0,12.0
S00150157,96,31.0,40.0,1.0,12.0,17.0
S00150158,116,34.0,76.0,1.0,3.0,2.0
S00150159,105,53.0,31.0,1.0,12.0,8.0
S00150160,163,20.0,130.0,0.0,5.0,8.0
S00150161,151,29.0,106.0,3.0,2.0,13.0
S00150162,98,25.0,60.0,4.0,5.0,4.0
S00150163,156,34.0,105.0,2.0,6.0,9.0
S00150164,663,484.0,71.0,42.0,60.0,6.0
S00150165,146,27.0,101.0,3.0,7.0,8.0
S00150166,81,21.0,40.0,3.0,9.0,8.0
S00150167,149,48.0,77.0,0.0,16.0,8.0
S00150168,135,39.0,77.0,1.0,3.0,16.0
S00150169,156,46.0,82.0,7.0,10.0,12.0
S00150170,75,7.0,63.0,1.0,1.0,3.0
S00150171,108,39.0,48.0,2.0,6.0,10.0
S00150172,106,21.0,77.0,1.0,4.0,3.0
S00150173,138,34.0,96.0,2.0,6.0,4.0
S00150174,133,21.0,108.0,0.0,3.0,0.0
S00150175,88,38.0,32.0,0.0,9.0,7.0
S00150176,106,15.0,75.0,2.0,6.0,9.0
S00150177,139,20.0,104.0,7.0,3.0,10.0
S00150178,103,21.0,72.0,1.0,3.0,12.0
S00150179,74,26.0,26.0,3.0,12.0,8.0
S00150180,118,27.0,78.0,1.0,3.0,8.0
S00150181,141,30.0,105.0,2.0,1.0,2.0
S00150182,149,27.0,105.0,2.0,7.0,8.0
S00150183,106,28.0,52.0,3.0,9.0,18.0
S00150184,93,23.0,53.0,3.0,7.0,11.0
S00150185,49,20.0,22.0,0.0,3.0,3.0
S00150186,78,29.0,28.0,1.0,14.0,8.0
S00150187,72,14.0,53.0,0.0,1.0,2.0
S00150188,137,44.0,80.0,0.0,6.0,6.0
S00150189,94,37.0,51.0,0.0,2.0,2.0
S00150190,109,36.0,48.0,0.0,14.0,9.0
S00150191,140,31.0,100.0,5.0,5.0,6.0
S00150192,85,15.0,57.0,0.0,3.0,6.0
S00150193,103,25.0,54.0,4.0,12.0,4.0
S00150194,119,33.0,64.0,2.0,8.0,12.0
S00150195,106,25.0,72.0,1.0,2.0,9.0
S00150196,90,16.0,63.0,0.0,3.0,8.0
S00150197,149,34.0,100.0,1.0,5.0,6.0
S00150198,94,15.0,65.0,3.0,1.0,8.0
S00150199,75,13.0,54.0,3.0,2.0,3.0
S00150200,97,27.0,56.0,1.0,3.0,10.0
S00150201,84,13.0,27.0,3.0,23.0,15.0
S00150202,98,40.0,39.0,2.0,4.0,13.0
S00150203,100,25.0,67.0,0.0,3.0,3.0
S00150204,102,22.0,64.0,0.0,3.0,17.0
