OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00135424,104,28.0,46.0,0.0,16.0,14.0
S00135425,102,35.0,48.0,6.0,9.0,6.0
S00135426,118,31.0,74.0,1.0,8.0,4.0
S00135427,118,18.0,68.0,2.0,12.0,19.0
S00135428,55,17.0,33.0,2.0,3.0,1.0
S00135429,74,14.0,50.0,0.0,2.0,5.0
S00135430,98,22.0,62.0,2.0,7.0,3.0
S00135431,86,26.0,46.0,3.0,12.0,2.0
S00135432,105,12.0,77.0,2.0,4.0,9.0
S00135433,110,23.0,66.0,2.0,9.0,6.0
S00135434,103,12.0,66.0,0.0,7.0,18.0
S00135435,71,11.0,44.0,1.0,7.0,11.0
S00135436,90,14.0,66.0,1.0,5.0,7.0
S00135437,102,33.0,47.0,0.0,12.0,6.0
S00135438,66,13.0,30.0,5.0,11.0,9.0
S00135439,80,14.0,50.0,1.0,4.0,11.0
S00135440,113,29.0,69.0,1.0,6.0,8.0
S00135441,110,28.0,66.0,0.0,6.0,7.0
S00135442,67,5.0,27.0,0.0,12.0,22.0
S00135443,84,32.0,40.0,3.0,6.0,6.0
S00135444,71,28.0,40.0,2.0,1.0,1.0
S00135445,120,26.0,77.0,0.0,7.0,9.0
S00135446,129,25.0,85.0,1.0,8.0,10.0
S00135447,111,33.0,59.0,0.0,10.0,5.0
S00135448,109,39.0,60.0,1.0,8.0,1.0
S00135449,95,16.0,39.0,2.0,10.0,31.0
S00135450,85,13.0,56.0,3.0,3.0,10.0
S00135451,68,16.0,36.0,0.0,9.0,8.0
S00135452,57,16.0,22.0,4.0,9.0,6.0
S00135453,93,39.0,34.0,5.0,12.0,6.0
S00135454,95,44.0,40.0,4.0,5.0,2.0
S00135455,95,36.0,42.0,3.0,4.0,6.0
S00135456,72,17.0,40.0,1.0,10.0,1.0
S00135457,61,7.0,44.0,0.0,3.0,7.0
S00135458,65,29.0,38.0,0.0,1.0,1.0
S00135459,113,34.0,35.0,2.0,17.0,25.0
S00135460,106,26.0,58.0,2.0,8.0,10.0
S00135461,104,25.0,68.0,0.0,6.0,5.0
S00135462,132,32.0,86.0,1.0,7.0,6.0
S00135463,129,33.0,69.0,3.0,15.0,6.0
S00135464,91,52.0,29.0,1.0,5.0,8.0
S00135465,96,26.0,41.0,1.0,8.0,20.0
S00135466,87,17.0,53.0,0.0,9.0,8.0
S00135467,80,28.0,38.0,1.0,9.0,3.0
S00135468,68,57.0,8.0,0.0,2.0,0.0
S00135469,113,18.0,76.0,0.0,7.0,8.0
S00135470,112,25.0,84.0,4.0,1.0,4.0
S00135471,124,58.0,39.0,2.0,19.0,6.0
S00135472,130,31.0,79.0,1.0,8.0,7.0
S00135473,103,24.0,65.0,2.0,7.0,6.0
S00135474,89,30.0,50.0,2.0,3.0,3.0
S00135475,81,23.0,51.0,0.0,4.0,6.0
S00135476,90,17.0,59.0,1.0,9.0,8.0
S00135477,94,32.0,52.0,0.0,9.0,2.0
S00135478,91,21.0,24.0,6.0,13.0,27.0
S00135479,111,22.0,86.0,0.0,3.0,0.0
S00135480,109,43.0,61.0,0.0,5.0,3.0
S00135481,114,15.0,84.0,1.0,1.0,11.0
S00135482,66,10.0,40.0,0.0,9.0,6.0
S00135483,100,20.0,58.0,2.0,5.0,11.0
S00135484,74,9.0,51.0,0.0,8.0,6.0
S00135485,142,34.0,74.0,4.0,10.0,14.0
S00135486,88,23.0,54.0,0.0,9.0,3.0
S00135487,144,35.0,89.0,6.0,9.0,5.0
S00135488,93,27.0,50.0,3.0,6.0,9.0
S00135489,100,70.0,13.0,7.0,11.0,0.0
S00135490,117,34.0,70.0,0.0,8.0,8.0
